1,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.9,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.8,0.6000 ,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.7,0.6220 ,0.6000 ,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.6,0.6220 ,0.6220 ,0.6000 ,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.5,0.6120 ,0.6220 ,0.6220 ,0.6220 ,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.4,0.6120 ,0.6120 ,0.6120 ,0.6220 ,0.6220 ,0.6000 ,0.6000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.3,0.6120 ,0.6120 ,0.6120 ,0.6120 ,0.6460 ,0.6560 ,0.6560 ,0.6000 ,0.0000 ,0.0000 ,0.0000 
0.2,0.6120 ,0.6120 ,0.6300 ,0.6300 ,0.6300 ,0.6120 ,0.6460 ,0.6560 ,0.6000 ,0.0000 ,0.0000 
0.1,0.5600 ,0.5600 ,0.5590 ,0.5590 ,0.6120 ,0.6120 ,0.6300 ,0.6120 ,0.6460 ,0.6630 ,0.0000 
0,0.4150 ,0.4260 ,0.4260 ,0.4260 ,0.4260 ,0.4260 ,0.4260 ,0.4260 ,0.4110 ,0.4110 ,0.2830 
,0.0000 ,0.1000 ,0.2000 ,0.3000 ,0.4000 ,0.5000 ,0.6000 ,0.7000 ,0.8000 ,0.9000 ,1.0000 
,alpha,,,,,,,,,,
